Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23130","Total Expenditure (General Government)","2006","2006","millions","2228.819839","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23130","Total Expenditure (General Government)","2007","2007","millions","3303.106576","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23130","Total Expenditure (General Government)","2008","2008","millions","9288.270989","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23130","Total Expenditure (General Government)","2009","2009","millions","8940.439594","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23130","Total Expenditure (General Government)","2010","2010","millions","12897.959879","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23130","Total Expenditure (General Government)","2011","2011","millions","17211.964073","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23130","Total Expenditure (General Government)","2012","2012","millions","13683.085115","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23130","Total Expenditure (General Government)","2013","2013","millions","13417.182069","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23130","Total Expenditure (General Government)","2014","2014","millions","12257.719449","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23130","Total Expenditure (General Government)","2015","2015","millions","11105.914784","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23130","Total Expenditure (General Government)","2016","2016","millions","9299.08934","X","Figure from international organizations","Consolidated General Government Expenditure"
