Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1961","1961","index","72.18","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1962","1962","index","80.74","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1963","1963","index","69.69","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1964","1964","index","60.29","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1965","1965","index","49.66","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1966","1966","index","48.86","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1967","1967","index","49.64","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1968","1968","index","48.35","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1969","1969","index","52.73","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1970","1970","index","52.32","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1971","1971","index","48.17","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1972","1972","index","41.5","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1973","1973","index","47.26","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1974","1974","index","59.37","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1975","1975","index","53.73","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1976","1976","index","49.47","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1977","1977","index","45.22","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1978","1978","index","40.96","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1979","1979","index","42.21","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1980","1980","index","46.47","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1981","1981","index","48.19","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1982","1982","index","50.13","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1983","1983","index","51.05","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1984","1984","index","49.42","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1985","1985","index","61.28","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1986","1986","index","49.64","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1987","1987","index","37.17","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1988","1988","index","32.32","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1989","1989","index","35.17","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1990","1990","index","29.46","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1991","1991","index","31.78","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1992","1992","index","41.08","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1993","1993","index","40.81","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1994","1994","index","42.31","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1995","1995","index","42.42","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1996","1996","index","36.43","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1997","1997","index","45.05","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1998","1998","index","50.6","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1999","1999","index","61.71","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2000","2000","index","68.54","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2001","2001","index","76.94","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2002","2002","index","83.53","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2003","2003","index","80.39","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2004","2004","index","76.52","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2005","2005","index","55.71","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2006","2006","index","87.96","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2007","2007","index","90.88","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2008","2008","index","92.62","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2009","2009","index","92.09","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2010","2010","index","95.26","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2011","2011","index","101.03","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2012","2012","index","101.54","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2013","2013","index","108.21","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2014","2014","index","100.63","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2015","2015","index","97.16","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2016","2016","index","102.21","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2017","2017","index","97.54","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2018","2018","index","97.36","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2019","2019","index","94.91","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2020","2020","index","100.39","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1961","1961","index","61.04","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1962","1962","index","53.62","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1963","1963","index","62.83","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1964","1964","index","64.86","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1965","1965","index","59.4","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1966","1966","index","57","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1967","1967","index","59.62","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1968","1968","index","70.82","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1969","1969","index","60.27","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1970","1970","index","74.89","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1971","1971","index","57.36","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1972","1972","index","44.69","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1973","1973","index","32.03","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1974","1974","index","25.74","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1975","1975","index","29.61","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1976","1976","index","30.06","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1977","1977","index","28.72","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1978","1978","index","27.72","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1979","1979","index","20.46","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1980","1980","index","36.83","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1981","1981","index","35.07","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1982","1982","index","42.72","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1983","1983","index","44.09","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1984","1984","index","33.03","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1985","1985","index","40.81","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1986","1986","index","43.9","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1987","1987","index","40.31","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1988","1988","index","49.04","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1989","1989","index","49.55","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1990","1990","index","46.51","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1991","1991","index","44.94","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1992","1992","index","43.85","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1993","1993","index","43.7","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1994","1994","index","41.18","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1995","1995","index","50.98","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1996","1996","index","49.79","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1997","1997","index","49.5","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1998","1998","index","48.89","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1999","1999","index","53.21","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2000","2000","index","53.36","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2001","2001","index","52.79","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2002","2002","index","49.46","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2003","2003","index","57.65","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2004","2004","index","53.83","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2005","2005","index","68.71","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2006","2006","index","73.5","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2007","2007","index","75.9","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2008","2008","index","81.68","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2009","2009","index","84.33","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2010","2010","index","89.31","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2011","2011","index","100.67","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2012","2012","index","102.56","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2013","2013","index","102.11","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2014","2014","index","99.42","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2015","2015","index","98.42","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2016","2016","index","102.17","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2017","2017","index","105.05","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2018","2018","index","106.81","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2019","2019","index","106.21","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","2020","2020","index","103.61","E","Estimated value"
"QI","Production Indices","360","Indonesia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1961","1961","index","47.64","E","Estimated value"
"QI","Production Indices","360","Indonesia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1962","1962","index","50.04","E","Estimated value"
