Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1991","1991","3043","ILO - ILO Modelled Estimates","1000 persons","1854.137","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1992","1992","3043","ILO - ILO Modelled Estimates","1000 persons","2032.575","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1993","1993","3043","ILO - ILO Modelled Estimates","1000 persons","2247.012","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1994","1994","3043","ILO - ILO Modelled Estimates","1000 persons","2429.326","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1995","1995","3043","ILO - ILO Modelled Estimates","1000 persons","2578.502","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1996","1996","3043","ILO - ILO Modelled Estimates","1000 persons","2683.23","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1997","1997","3043","ILO - ILO Modelled Estimates","1000 persons","2749.236","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1998","1998","3043","ILO - ILO Modelled Estimates","1000 persons","2796.611","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1999","1999","3043","ILO - ILO Modelled Estimates","1000 persons","2855.371","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2000","2000","3043","ILO - ILO Modelled Estimates","1000 persons","2949.786","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2001","2001","3043","ILO - ILO Modelled Estimates","1000 persons","3100.867","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2002","2002","3043","ILO - ILO Modelled Estimates","1000 persons","3171.075","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2003","2003","3043","ILO - ILO Modelled Estimates","1000 persons","3312.229","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2004","2004","3043","ILO - ILO Modelled Estimates","1000 persons","3466.221","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2005","2005","3043","ILO - ILO Modelled Estimates","1000 persons","3565.468","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2006","2006","3043","ILO - ILO Modelled Estimates","1000 persons","3609.937","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2007","2007","3043","ILO - ILO Modelled Estimates","1000 persons","3616.596","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2008","2008","3043","ILO - ILO Modelled Estimates","1000 persons","3630.523","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2009","2009","3043","ILO - ILO Modelled Estimates","1000 persons","3540.205","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2010","2010","3043","ILO - ILO Modelled Estimates","1000 persons","3483.832","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2011","2011","3043","ILO - ILO Modelled Estimates","1000 persons","3565.343","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2012","2012","3043","ILO - ILO Modelled Estimates","1000 persons","3589.024","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2013","2013","3043","ILO - ILO Modelled Estimates","1000 persons","3661.449","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2014","2014","3043","ILO - ILO Modelled Estimates","1000 persons","3747.084","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2015","2015","3043","ILO - ILO Modelled Estimates","1000 persons","3827.155","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2016","2016","3043","ILO - ILO Modelled Estimates","1000 persons","3886.237","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2017","2017","3043","ILO - ILO Modelled Estimates","1000 persons","3886.59","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2018","2018","3043","ILO - ILO Modelled Estimates","1000 persons","3958.696","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","004","Afghanistan","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2019","2019","3043","ILO - ILO Modelled Estimates","1000 persons","4048.472","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","051","Armenia","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1991","1991","3043","ILO - ILO Modelled Estimates","1000 persons","600.816","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","051","Armenia","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1992","1992","3043","ILO - ILO Modelled Estimates","1000 persons","594.153","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","051","Armenia","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1993","1993","3043","ILO - ILO Modelled Estimates","1000 persons","560.351","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","051","Armenia","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1994","1994","3043","ILO - ILO Modelled Estimates","1000 persons","537.322","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","051","Armenia","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1995","1995","3043","ILO - ILO Modelled Estimates","1000 persons","521.224","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","051","Armenia","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1996","1996","3043","ILO - ILO Modelled Estimates","1000 persons","496.291","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","051","Armenia","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1997","1997","3043","ILO - ILO Modelled Estimates","1000 persons","480.934","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","051","Armenia","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1998","1998","3043","ILO - ILO Modelled Estimates","1000 persons","481.701","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","051","Armenia","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1999","1999","3043","ILO - ILO Modelled Estimates","1000 persons","466.415","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","051","Armenia","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2000","2000","3043","ILO - ILO Modelled Estimates","1000 persons","460.624","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","051","Armenia","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2001","2001","3043","ILO - ILO Modelled Estimates","1000 persons","454.021","X","Figure from international organizations",""
