Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1991","1991","3043","ILO - ILO Modelled Estimates","1000 persons","736.952","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1992","1992","3043","ILO - ILO Modelled Estimates","1000 persons","735.777","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1993","1993","3043","ILO - ILO Modelled Estimates","1000 persons","702.202","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1994","1994","3043","ILO - ILO Modelled Estimates","1000 persons","671.857","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1995","1995","3043","ILO - ILO Modelled Estimates","1000 persons","638.509","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1996","1996","3043","ILO - ILO Modelled Estimates","1000 persons","626.553","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1997","1997","3043","ILO - ILO Modelled Estimates","1000 persons","646.29","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1998","1998","3043","ILO - ILO Modelled Estimates","1000 persons","634.631","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1999","1999","3043","ILO - ILO Modelled Estimates","1000 persons","614.295","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2000","2000","3043","ILO - ILO Modelled Estimates","1000 persons","599.734","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2001","2001","3043","ILO - ILO Modelled Estimates","1000 persons","577.96","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2002","2002","3043","ILO - ILO Modelled Estimates","1000 persons","562.776","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2003","2003","3043","ILO - ILO Modelled Estimates","1000 persons","548.013","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2004","2004","3043","ILO - ILO Modelled Estimates","1000 persons","532.494","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2005","2005","3043","ILO - ILO Modelled Estimates","1000 persons","516.405","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2006","2006","3043","ILO - ILO Modelled Estimates","1000 persons","500.651","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2007","2007","3043","ILO - ILO Modelled Estimates","1000 persons","487.744","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2008","2008","3043","ILO - ILO Modelled Estimates","1000 persons","488.23","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2009","2009","3043","ILO - ILO Modelled Estimates","1000 persons","473.651","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2010","2010","3043","ILO - ILO Modelled Estimates","1000 persons","448.566","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2011","2011","3043","ILO - ILO Modelled Estimates","1000 persons","543.004","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2012","2012","3043","ILO - ILO Modelled Estimates","1000 persons","526.05","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2013","2013","3043","ILO - ILO Modelled Estimates","1000 persons","459.686","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2014","2014","3043","ILO - ILO Modelled Estimates","1000 persons","431.847","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2015","2015","3043","ILO - ILO Modelled Estimates","1000 persons","446.937","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2016","2016","3043","ILO - ILO Modelled Estimates","1000 persons","451.686","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2017","2017","3043","ILO - ILO Modelled Estimates","1000 persons","444.023","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2018","2018","3043","ILO - ILO Modelled Estimates","1000 persons","460.389","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","008","Albania","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2019","2019","3043","ILO - ILO Modelled Estimates","1000 persons","462.809","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1991","1991","3043","ILO - ILO Modelled Estimates","1000 persons","272.477","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1992","1992","3043","ILO - ILO Modelled Estimates","1000 persons","271.204","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1993","1993","3043","ILO - ILO Modelled Estimates","1000 persons","264.462","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1994","1994","3043","ILO - ILO Modelled Estimates","1000 persons","266.187","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1995","1995","3043","ILO - ILO Modelled Estimates","1000 persons","272.414","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1996","1996","3043","ILO - ILO Modelled Estimates","1000 persons","271.773","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1997","1997","3043","ILO - ILO Modelled Estimates","1000 persons","252.024","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1998","1998","3043","ILO - ILO Modelled Estimates","1000 persons","238.342","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1999","1999","3043","ILO - ILO Modelled Estimates","1000 persons","232.65","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2000","2000","3043","ILO - ILO Modelled Estimates","1000 persons","226.487","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2001","2001","3043","ILO - ILO Modelled Estimates","1000 persons","218.079","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2002","2002","3043","ILO - ILO Modelled Estimates","1000 persons","219.105","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2003","2003","3043","ILO - ILO Modelled Estimates","1000 persons","210.63","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2004","2004","3043","ILO - ILO Modelled Estimates","1000 persons","180.595","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2005","2005","3043","ILO - ILO Modelled Estimates","1000 persons","200.564","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2006","2006","3043","ILO - ILO Modelled Estimates","1000 persons","202.888","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2007","2007","3043","ILO - ILO Modelled Estimates","1000 persons","219.37","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2008","2008","3043","ILO - ILO Modelled Estimates","1000 persons","212.471","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2009","2009","3043","ILO - ILO Modelled Estimates","1000 persons","215.301","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2010","2010","3043","ILO - ILO Modelled Estimates","1000 persons","213.384","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2011","2011","3043","ILO - ILO Modelled Estimates","1000 persons","204.365","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2012","2012","3043","ILO - ILO Modelled Estimates","1000 persons","195.252","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2013","2013","3043","ILO - ILO Modelled Estimates","1000 persons","192.05","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2014","2014","3043","ILO - ILO Modelled Estimates","1000 persons","203.065","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2015","2015","3043","ILO - ILO Modelled Estimates","1000 persons","191.346","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2016","2016","3043","ILO - ILO Modelled Estimates","1000 persons","185.642","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2017","2017","3043","ILO - ILO Modelled Estimates","1000 persons","170.025","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2018","2018","3043","ILO - ILO Modelled Estimates","1000 persons","162.664","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","040","Austria","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2019","2019","3043","ILO - ILO Modelled Estimates","1000 persons","162.76","X","Figure from international organizations","Adjusted"
"OEA","Employment Indicators: Agriculture","112","Belarus","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1991","1991","3043","ILO - ILO Modelled Estimates","1000 persons","694.976","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","112","Belarus","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1992","1992","3043","ILO - ILO Modelled Estimates","1000 persons","694.84","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","112","Belarus","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1993","1993","3043","ILO - ILO Modelled Estimates","1000 persons","662.539","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","112","Belarus","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1994","1994","3043","ILO - ILO Modelled Estimates","1000 persons","643.44","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","112","Belarus","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1995","1995","3043","ILO - ILO Modelled Estimates","1000 persons","621.296","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","112","Belarus","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1996","1996","3043","ILO - ILO Modelled Estimates","1000 persons","570.323","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","112","Belarus","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1997","1997","3043","ILO - ILO Modelled Estimates","1000 persons","614.1","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","112","Belarus","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1998","1998","3043","ILO - ILO Modelled Estimates","1000 persons","627.492","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","112","Belarus","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","1999","1999","3043","ILO - ILO Modelled Estimates","1000 persons","631.638","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","112","Belarus","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","13","Total","2000","2000","3043","ILO - ILO Modelled Estimates","1000 persons","632.197","X","Figure from international organizations",""
