Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","1992","1992","millions","20","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","1993","1993","millions","68","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","1994","1994","millions","52.97","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","1995","1995","millions","70.05","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","1996","1996","millions","90.09","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","1997","1997","millions","47.54","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","1998","1998","millions","45.010797","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","1999","1999","millions","41.199875","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2000","2000","millions","144.270315","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2001","2001","millions","206.427683","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2002","2002","millions","133.056327","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2003","2003","millions","177.103813","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2004","2004","millions","345.671838","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2005","2005","millions","264.338656","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2006","2006","millions","324.421903","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2007","2007","millions","658.506675","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2008","2008","millions","974.333321","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2009","2009","millions","995.929668","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2010","2010","millions","1050.708236","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2011","2011","millions","876.268324","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2012","2012","millions","855.440232","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2013","2013","millions","1265.90079","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2014","2014","millions","1111.434379","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2015","2015","millions","945.722845","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","1100.671891","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1148.891224","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1289.690235","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","1287.978184","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","008","Albania","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","1106.560092","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","1991","1991","millions","360","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","1992","1992","millions","1485.517753","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","1993","1993","millions","1125.106122","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","1994","1994","millions","2075.823594","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","1995","1995","millions","1825.090253","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","1996","1996","millions","4323.513092","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","1997","1997","millions","2668.974816","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","1998","1998","millions","4571.855707","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","1999","1999","millions","2974.499988","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2000","2000","millions","8501.013451","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2001","2001","millions","5689.434546","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2002","2002","millions","138.346431","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2003","2003","millions","6195.021861","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2004","2004","millions","3183.64965","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2005","2005","millions","10784.460031","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2006","2006","millions","4754.757314","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2007","2007","millions","25484.267175","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2008","2008","millions","7226.097231","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2009","2009","millions","9268.299689","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2010","2010","millions","2575.463407","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2011","2011","millions","10615.649537","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2012","2012","millions","3988.877646","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2013","2013","millions","5721.210459","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2014","2014","millions","4583.147657","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2015","2015","millions","1488.357813","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","-8508.306429","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","14953.062086","X","Figure from international organizations","UNCTAD"
