Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","008","Albania","6110","Value US$","23130","Total Expenditure (General Government)","2001","2001","millions","1296.645755","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","008","Albania","6110","Value US$","23130","Total Expenditure (General Government)","2002","2002","millions","1373.605401","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","008","Albania","6110","Value US$","23130","Total Expenditure (General Government)","2003","2003","millions","1637.671735","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","008","Albania","6110","Value US$","23130","Total Expenditure (General Government)","2004","2004","millions","2160.049517","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","008","Albania","6110","Value US$","23130","Total Expenditure (General Government)","2005","2005","millions","2323.62808","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","008","Albania","6110","Value US$","23130","Total Expenditure (General Government)","2006","2006","millions","2636.675315","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","008","Albania","6110","Value US$","23130","Total Expenditure (General Government)","2007","2007","millions","3159.135836","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","008","Albania","6110","Value US$","23130","Total Expenditure (General Government)","2008","2008","millions","4189.685425","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","008","Albania","6110","Value US$","23130","Total Expenditure (General Government)","2009","2009","millions","3996.731044","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","008","Albania","6110","Value US$","23130","Total Expenditure (General Government)","2010","2010","millions","3559.203951","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","008","Albania","6110","Value US$","23130","Total Expenditure (General Government)","2011","2011","millions","3762.427974","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","008","Albania","6110","Value US$","23130","Total Expenditure (General Government)","2012","2012","millions","3506.227722","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","008","Albania","6110","Value US$","23130","Total Expenditure (General Government)","2013","2013","millions","3715.235437","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","008","Albania","6110","Value US$","23130","Total Expenditure (General Government)","2014","2014","millions","3874.525668","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","008","Albania","6110","Value US$","23130","Total Expenditure (General Government)","2015","2015","millions","3374.715761","A","Official figure","Consolidated General Government Expenditure"
