Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1961","1961","index","39.09","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1962","1962","index","40.21","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1963","1963","index","38.36","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1964","1964","index","40.97","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1965","1965","index","38.24","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1966","1966","index","42.03","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1967","1967","index","43.3","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1968","1968","index","42.08","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1969","1969","index","41.76","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1970","1970","index","42.03","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1971","1971","index","42.4","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1972","1972","index","42.41","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1973","1973","index","44.48","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1974","1974","index","44.5","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1975","1975","index","44.27","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1976","1976","index","47.48","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1977","1977","index","48.52","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1978","1978","index","49.61","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1979","1979","index","50.04","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1980","1980","index","47.74","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1981","1981","index","48.69","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1982","1982","index","49.19","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1983","1983","index","52.04","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1984","1984","index","47.66","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1985","1985","index","46.36","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1986","1986","index","45.34","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1987","1987","index","45.59","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1988","1988","index","41.94","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1989","1989","index","46.28","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1990","1990","index","44.73","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1991","1991","index","37.29","E","Estimated value"
