Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","121","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","121","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","121","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","121","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","201","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","251","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","262.4","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","273.79","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","285.19","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","296.59","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","307.98","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","319.38","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","330.78","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","342.17","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","353.57","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","364.97","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","376.36","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","387.76","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","399.16","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","410.55","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","590.5","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","582.68","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","361.62","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","450.6","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","tonnes","457.47","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","tonnes","538.24","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","tonnes","584.49","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","614.91","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","442.35","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","729.67","E","Estimated value"
"RP","Pesticides Use","008","Albania","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","tonnes","756.51","E","Estimated value"
