Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","1991","1991","millions","-0.28","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","1992","1992","millions","0.36","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","1993","1993","millions","-0.02","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","1994","1994","millions","0.02","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","1995","1995","millions","-0.093327","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","1996","1996","millions","0.69","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","1997","1997","millions","-1.46","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","1998","1998","millions","-0.01","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","1999","1999","millions","6.04","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2000","2000","millions","0.17","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2001","2001","millions","0.68","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2002","2002","millions","50","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2003","2003","millions","57.8","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2004","2004","millions","186.9","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2005","2005","millions","271","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2006","2006","millions","238","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2007","2007","millions","188.69","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2008","2008","millions","46.034","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2009","2009","millions","197.513","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2010","2010","millions","54.201","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2011","2011","millions","57.621","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2012","2012","millions","47.227","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2013","2013","millions","37.639","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2014","2014","millions","43.51","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2015","2015","millions","163.103","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","93.59","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","004","Afghanistan","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","53.39","X","Figure from international organizations","UNCTAD"
