Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","004","Afghanistan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2003","2003","millions","1149.473762","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","004","Afghanistan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2004","2004","millions","1566.096747","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","004","Afghanistan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2005","2005","millions","1620.702725","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","004","Afghanistan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2006","2006","millions","3245.831129","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","004","Afghanistan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2007","2007","millions","4452.522567","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","004","Afghanistan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2008","2008","millions","11428.304974","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","004","Afghanistan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2009","2009","millions","10760.52924","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","004","Afghanistan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2010","2010","millions","12901.0773","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","004","Afghanistan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2011","2011","millions","3805.742437","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","004","Afghanistan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2012","2012","millions","4170.540832","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","004","Afghanistan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2013","2013","millions","12517.245747","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","004","Afghanistan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2014","2014","millions","11879.58693","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","004","Afghanistan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2015","2015","millions","5159.305871","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","004","Afghanistan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2016","2016","millions","9724.717714","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","004","Afghanistan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2017","2017","millions","9464.371177","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2003","2003","millions","990.006118","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2004","2004","millions","996.16801","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2005","2005","millions","1211.242234","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2006","2006","millions","1344.819912","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2007","2007","millions","1705.813046","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2008","2008","millions","2067.572461","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2009","2009","millions","2310.827966","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2010","2010","millions","2202.759153","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2011","2011","millions","2182.542397","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2012","2012","millions","2252.556436","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2013","2013","millions","2474.466104","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2014","2014","millions","2614.712908","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2015","2015","millions","2948.195211","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2016","2016","millions","3023.061761","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2017","2017","millions","3074.079962","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2018","2018","millions","2876.05914","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2019","2019","millions","3191.353323","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","051","Armenia","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2020","2020","millions","3642.440298","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","031","Azerbaijan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2008","2008","millions","11450.411567","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","031","Azerbaijan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2009","2009","millions","13821.61426","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","031","Azerbaijan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2010","2010","millions","13699.902349","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","031","Azerbaijan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2011","2011","millions","14292.328223","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","031","Azerbaijan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2012","2012","millions","15800.941789","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","031","Azerbaijan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2013","2013","millions","16824.936712","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","031","Azerbaijan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2014","2014","millions","16989.952229","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","031","Azerbaijan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2015","2015","millions","17805.430625","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","031","Azerbaijan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2016","2016","millions","15040.826597","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","031","Azerbaijan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2017","2017","millions","15520.516031","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","031","Azerbaijan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2018","2018","millions","14086.831309","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","031","Azerbaijan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2019","2019","millions","15181.442546","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","031","Azerbaijan","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2020","2020","millions","18705.910678","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","048","Bahrain","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2001","2001","millions","3730.820919","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","048","Bahrain","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2002","2002","millions","4540.480536","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","048","Bahrain","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2003","2003","millions","4240.888614","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","048","Bahrain","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2004","2004","millions","3988.559255","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","048","Bahrain","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2005","2005","millions","4260.413589","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","048","Bahrain","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2006","2006","millions","4742.597403","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","048","Bahrain","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2007","2007","millions","4933.199771","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","048","Bahrain","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2008","2008","millions","5399.476211","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","048","Bahrain","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2009","2009","millions","6026.345651","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","048","Bahrain","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2010","2010","millions","7094.352045","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","048","Bahrain","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2011","2011","millions","7052.665459","X","Figure from international organizations","Budgetary Central Government Expenditure"
"IG","Government Expenditure","048","Bahrain","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2013","2013","millions","7948.75361","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","048","Bahrain","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2014","2014","millions","8543.477431","A","Official figure","Budgetary Central Government Expenditure"
"IG","Government Expenditure","048","Bahrain","6184","Value US$, 2015 prices","23160","Total Expenditure (Central Government)","2015","2015","millions","9466.542553","A","Official figure","Budgetary Central Government Expenditure"
