Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1961","1961","index","161.93","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1962","1962","index","161.58","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1963","1963","index","159.56","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1964","1964","index","166.81","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1965","1965","index","170.37","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1966","1966","index","171.9","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1967","1967","index","183.78","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1968","1968","index","187.77","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1969","1969","index","186.66","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1970","1970","index","166.3","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1971","1971","index","151.34","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1972","1972","index","154.94","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1973","1973","index","164.75","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1974","1974","index","167.25","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1975","1975","index","169.11","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1976","1976","index","178.15","E","Estimated value"
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2051","Agriculture","1977","1977","index","157.35","E","Estimated value"
