Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","8","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","8","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","23","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","23.9","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","32","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","41.46","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","50.92","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","60.38","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","69.85","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","79.31","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","88.77","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","98.23","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","204.77","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","220.51","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","227.55","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","241.71","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","218.2","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","198.36","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","278.72","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","320.67","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","362.62","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","404.57","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","tonnes","446.52","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","tonnes","488.47","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","tonnes","530.42","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","572.37","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","614.32","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","527.33","E","Estimated value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","tonnes","639.15","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","148.68","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","148.68","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","148.68","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","148.68","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","148.68","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","148.68","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","148.68","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","148.68","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","148.68","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","148.68","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","148.68","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","148.68","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","148.68","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","148.68","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","148.68","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","148.68","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","262.99","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","316.18","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","333.85","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","461.84","E","Estimated value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","516.35","E","Estimated value"
