Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1967","1967","kg/ha","3.15","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1968","1968","kg/ha","2.16","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1969","1969","kg/ha","5.29","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1970","1970","kg/ha","6.33","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1971","1971","kg/ha","4.28","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1972","1972","kg/ha","4","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1973","1973","kg/ha","6.51","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1974","1974","kg/ha","5.47","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1975","1975","kg/ha","5.74","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1976","1976","kg/ha","3.41","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1977","1977","kg/ha","3.76","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1978","1978","kg/ha","4.16","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1979","1979","kg/ha","5.66","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1980","1980","kg/ha","5.98","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1981","1981","kg/ha","3.36","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1982","1982","kg/ha","3.34","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1983","1983","kg/ha","2.49","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1984","1984","kg/ha","4.29","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1985","1985","kg/ha","5.59","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1986","1986","kg/ha","11.09","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1987","1987","kg/ha","6.95","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1988","1988","kg/ha","6.01","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1989","1989","kg/ha","6.47","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1990","1990","kg/ha","4.57","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1991","1991","kg/ha","2.49","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1992","1992","kg/ha","6.21","E","Estimated value"
