Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1961","1961","1000 ha","6020","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1962","1962","1000 ha","6025","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1963","1963","1000 ha","6030","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1964","1964","1000 ha","6035","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1965","1965","1000 ha","6040","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1966","1966","1000 ha","6045","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1967","1967","1000 ha","6070","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1968","1968","1000 ha","6095","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1969","1969","1000 ha","6110","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1970","1970","1000 ha","6145","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1971","1971","1000 ha","6150","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1972","1972","1000 ha","6175","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1973","1973","1000 ha","6210","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1974","1974","1000 ha","6235","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1975","1975","1000 ha","6240","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1976","1976","1000 ha","6450","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1977","1977","1000 ha","6540","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1978","1978","1000 ha","6564","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1979","1979","1000 ha","6570","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1980","1980","1000 ha","6570","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1981","1981","1000 ha","6580","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1982","1982","1000 ha","6580","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1983","1983","1000 ha","6590","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1984","1984","1000 ha","6590","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1985","1985","1000 ha","6421","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1986","1986","1000 ha","6400","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1987","1987","1000 ha","6387","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1988","1988","1000 ha","6380","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1989","1989","1000 ha","6380","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1990","1990","1000 ha","6384","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1991","1991","1000 ha","6425","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1992","1992","1000 ha","6697","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1993","1993","1000 ha","6759","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1994","1994","1000 ha","6812","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1995","1995","1000 ha","6751","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1996","1996","1000 ha","7004","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1997","1997","1000 ha","7202","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1998","1998","1000 ha","7413","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","1999","1999","1000 ha","7771","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2000","2000","1000 ha","8138","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2001","2001","1000 ha","8841","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2002","2002","1000 ha","8813","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2003","2003","1000 ha","8895","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2004","2004","1000 ha","9153.6","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2005","2005","1000 ha","9412.1","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2006","2006","1000 ha","9436","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2007","2007","1000 ha","9420.6","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2008","2008","1000 ha","9598.8","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2009","2009","1000 ha","9650","I","Imputed value"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2010","2010","1000 ha","10118.1","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2011","2011","1000 ha","10126.6","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2012","2012","1000 ha","10151.3","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2013","2013","1000 ha","10210.8","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2014","2014","1000 ha","10231.7","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2015","2015","1000 ha","11505.8","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2016","2016","1000 ha","11530.2","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2017","2017","1000 ha","11526.8","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2018","2018","1000 ha","11498.5","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2019","2019","1000 ha","11746","A","Official figure"
"RL","Land Use","704","Viet Nam","5110","Area","6620","Cropland","2020","2020","1000 ha","11718","A","Official figure"
