Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1961","1961","1000 US$","5207388","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1962","1962","1000 US$","5520997","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1963","1963","1000 US$","5536397","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1964","1964","1000 US$","5625169","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1965","1965","1000 US$","5596725","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1966","1966","1000 US$","5288180","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1967","1967","1000 US$","5552433","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1968","1968","1000 US$","5265346","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1969","1969","1000 US$","5392052","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1970","1970","1000 US$","5841721","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1971","1971","1000 US$","5980227","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1972","1972","1000 US$","6143613","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1973","1973","1000 US$","6319197","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1974","1974","1000 US$","6318891","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1975","1975","1000 US$","5894895","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1976","1976","1000 US$","6934718","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1977","1977","1000 US$","6856627","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1978","1978","1000 US$","7114741","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1979","1979","1000 US$","7892085","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1980","1980","1000 US$","8458078","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1981","1981","1000 US$","8933525","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1982","1982","1000 US$","9718656","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1983","1983","1000 US$","10023869","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1984","1984","1000 US$","10562582","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1985","1985","1000 US$","10842557","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1986","1986","1000 US$","11244163","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1987","1987","1000 US$","11544727","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1988","1988","1000 US$","12032393","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1989","1989","1000 US$","12858558","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1990","1990","1000 US$","13147565","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1991","1991","1000 US$","13360933","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1992","1992","1000 US$","14476981","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1993","1993","1000 US$","15187420","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1994","1994","1000 US$","15835869","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1995","1995","1000 US$","16619200","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1996","1996","1000 US$","17870524","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1997","1997","1000 US$","19105026","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1998","1998","1000 US$","19828712","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","1999","1999","1000 US$","21407926","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","F2051","Agriculture","2000","2000","1000 US$","22764966","E","Estimated value"
