Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1961","1961","No","11600","E","Estimated value"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1962","1962","No","12100","E","Estimated value"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1963","1963","No","12600","E","Estimated value"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1964","1964","No","13100","E","Estimated value"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1965","1965","No","13600","E","Estimated value"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1966","1966","No","14100","E","Estimated value"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1967","1967","No","14600","E","Estimated value"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1968","1968","No","15100","E","Estimated value"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1969","1969","No","15600","E","Estimated value"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1970","1970","No","16150","E","Estimated value"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1971","1971","No","16500","E","Estimated value"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1972","1972","No","17150","E","Estimated value"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1973","1973","No","17450","E","Estimated value"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1974","1974","No","17750","E","Estimated value"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1975","1975","No","18062","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1976","1976","No","18397","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1977","1977","No","21167","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1978","1978","No","22768","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1979","1979","No","24347","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1980","1980","No","24105","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1981","1981","No","24534","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1982","1982","No","24610","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1983","1983","No","23722","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1984","1984","No","29659","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1985","1985","No","31620","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1986","1986","No","30768","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1987","1987","No","22578","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1988","1988","No","22405","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1989","1989","No","22127","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1990","1990","No","25086","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1991","1991","No","35375","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1992","1992","No","37627","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1993","1993","No","45776","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1994","1994","No","89106","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1995","1995","No","97817","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1996","1996","No","109501","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1997","1997","No","115487","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1998","1998","No","122958","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","1999","1999","No","145850","A","Official figure"
"RM","Machinery","704","Viet Nam","5116","In Use","2455011","Agricultural tractors","2000","2000","No","162746","A","Official figure"
