Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1961","1961","hg/ha","18564","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1962","1962","hg/ha","19533","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1963","1963","hg/ha","20709","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1964","1964","hg/ha","19098","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1965","1965","hg/ha","18984","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1966","1966","hg/ha","17620","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1967","1967","hg/ha","18786","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1968","1968","hg/ha","16810","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1969","1969","hg/ha","17568","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1970","1970","hg/ha","21037","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1971","1971","hg/ha","21679","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1972","1972","hg/ha","21439","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1973","1973","hg/ha","21680","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1974","1974","hg/ha","21146","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1975","1975","hg/ha","20641","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1976","1976","hg/ha","21679","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1977","1977","hg/ha","18736","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1978","1978","hg/ha","17461","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1979","1979","hg/ha","20026","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1980","1980","hg/ha","20161","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1981","1981","hg/ha","21279","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1982","1982","hg/ha","24336","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1983","1983","hg/ha","25394","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1984","1984","hg/ha","26458","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1985","1985","hg/ha","26918","E","Estimated value"
"QCL","Crops and livestock products","704","Viet Nam","5419","Yield","F1717","Cereals, Total","1986","1986","hg/ha","27151","E","Estimated value"
